parishes,x,y
Kingston,137,-38
Hanover,-254,72
Lucea,-235,92
Trelawny,-116,63
Falmouth,-96,104
St. James,-172,64
Montego Bay,-179,95
St. Ann,-27,59
St. Ann’s Bay,8,96
St. Mary,82,57
Port Maria,11,94
Portland,160,12
Port Antonio,224,17
Westmoreland,-272,38
Savanna-la-mar,-233,25
St Elizabeth,-170,-9
Black River,-144,-34
Clarendon,-27,-17
May Pen,-2,-62
Manchester,-83,3
Mandeville,-72,-29
St. Catherine,37,-24
Spanish Town,64,-55
St. Thomas,181,-47
Morant Bay,271,-43
St. Andrew,118,-15
Half Way Tree,109,-23
